Name,PV_File,WIND_File
LE_HAVRE,PV_LE_HAVRE_20150101-20241231_merra2_6d3c9cd668.csv,Wind_LE_HAVRE_20150101-20241231_merra2_a6d7f2589a.csv
ROUEN,PV_ROUEN_20150101-20241231_merra2_cd3819f6b5.csv,Wind_ROUEN_20150101-20241231_merra2_a6d7f2589a.csv
PARIS_SEINE_AVAL,PV_PARIS_SEINE_AVAL_20150101-20241231_merra2_c2d7a3cf3a.csv,Wind_PARIS_SEINE_AVAL_20150101-20241231_merra2_a6d7f2589a.csv
CARRE_DE_REUNION,PV_CARRE_DE_REUNION_20150101-20241231_merra2_c6311ba2b1.csv,Wind_CARRE_DE_REUNION_20150101-20241231_merra2_a6d7f2589a.csv
PARIS_SEINE_GRÉSILLONS,PV_PARIS_SEINE_GRÉSILLONS_20150101-20241231_merra2_c2d7a3cf3a.csv,Wind_PARIS_SEINE_GRÉSILLONS_20150101-20241231_merra2_a6d7f2589a.csv
PARIS_SEINE-CENTRE,PV_PARIS_SEINE-CENTRE_20150101-20241231_merra2_de931062bf.csv,Wind_PARIS_SEINE-CENTRE_20150101-20241231_merra2_a6d7f2589a.csv
PARIS_MARNE_AVAL,PV_PARIS_MARNE_AVAL_20150101-20241231_merra2_de931062bf.csv,Wind_PARIS_MARNE_AVAL_20150101-20241231_merra2_a6d7f2589a.csv
PARIS_SEINE-AMONT,PV_PARIS_SEINE-AMONT_20150101-20241231_merra2_c6311ba2b1.csv,Wind_PARIS_SEINE-AMONT_20150101-20241231_merra2_a6d7f2589a.csv
NEUVILLE_SUR_OISE,PV_NEUVILLE_SUR_OISE_20150101-20241231_merra2_c2d7a3cf3a.csv,Wind_NEUVILLE_SUR_OISE_20150101-20241231_merra2_a6d7f2589a.csv
RENNES,PV_RENNES_20150101-20241231_merra2_d96d7cca0e.csv,Wind_RENNES_20150101-20241231_merra2_a6d7f2589a.csv
